Date : 2025-01-12 13:47:58
Directory : /Users/tianqiyin/Desktop/LeetCode/leetcode_practice
Total : 159 files,  3357 codes, 2790 comments, 1122 blanks, all 7269 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        151 |      3,290 |      2,790 |      1,113 |      7,193 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/longest-common-prefix.js                                     | JavaScript |         14 |         13 |          7 |         34 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/longest-consecutive-sequence.js                              | JavaScript |         18 |         13 |          5 |         36 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/longest-increasing-subsequence.js                            | JavaScript |         16 |         14 |          9 |         39 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/longest-palindromic-substring.js                             | JavaScript |         26 |         11 |          9 |         46 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/longest-substring-without-repeating-characters.js            | JavaScript |         15 |         20 |          5 |         40 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/lowest-common-ancestor-of-a-binary-tree.js                   | JavaScript |         11 |         15 |          5 |         31 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/majority-element.js                                          | JavaScript |         31 |          7 |          7 |         45 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/max-points-on-a-line.js                                      | JavaScript |         27 |         10 |          8 |         45 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/maximal-square.js                                            | JavaScript |         24 |         17 |          6 |         47 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/maximum-depth-of-binary-tree.js                              | JavaScript |         15 |         16 |          3 |         34 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/maximum-subarray.js                                          | JavaScript |          9 |         16 |          6 |         31 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/maximum-sum-circular-subarray.js                             | JavaScript |         25 |         16 |         11 |         52 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/median-of-two-sorted-arrays.js                               | JavaScript |         32 |         13 |          8 |         53 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/merge-intervals.js                                           | JavaScript |         14 |         14 |          5 |         33 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/merge-k-sorted-lists.js                                      | JavaScript |         30 |         28 |         11 |         69 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/merge-sort-array.js                                          | JavaScript |         23 |          0 |          4 |         27 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/merge-two-sorted-lists.js                                    | JavaScript |         31 |         21 |         10 |         62 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/min-stack.js                                                 | JavaScript |         36 |         39 |          7 |         82 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/minimum-absolute-difference-in-BST.js                        | JavaScript |         16 |         16 |          9 |         41 |
| /Users/tianqiyin/Desktop/LeetCode/leetcode_practice/minimum-genetic-mutation.js                                  | JavaScript |         21 |         12 |          9 |         42 |
